Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,532.599976,535.799988,527.880005,529.549988,529.549988,1324000
2015-01-05,527.150024,527.989990,517.750000,519.460022,519.460022,2059100
2015-01-06,520.500000,521.210022,505.549988,506.640015,506.640015,2722800
2015-01-07,510.950012,511.489990,503.649994,505.149994,505.149994,2345900
2015-01-08,501.510010,507.500000,495.019989,506.910004,506.910004,3652700
2015-01-09,508.179993,508.600006,498.649994,500.720001,500.720001,2097000
2015-01-12,499.239990,500.279999,490.910004,497.059998,497.059998,2854100
2015-01-13,502.570007,508.600006,497.260010,501.799988,501.799988,3047900
2015-01-14,500.420013,508.260010,498.160004,505.929993,505.929993,2640000
2015-01-15,508.890015,509.750000,502.010010,504.010010,504.010010,2553400
2015-01-16,503.149994,510.850006,503.089996,510.459991,510.459991,2482900
2015-01-20,512.770020,515.609985,509.369995,509.940002,509.940002,2339800
2015-01-21,510.839996,521.849976,509.589996,520.390015,520.390015,2317800
2015-01-22,523.000000,538.840027,521.909973,537.299988,537.299988,2803400
2015-01-23,538.030029,545.409973,535.750000,541.950012,541.950012,2292800
2015-01-26,541.500000,541.500000,532.070007,536.719971,536.719971,1544700
2015-01-27,531.400024,532.780029,520.859985,521.190002,521.190002,1957400
2015-01-28,525.000000,525.690002,512.349976,512.429993,512.429993,1791100
2015-01-29,512.900024,515.190002,503.480011,513.229980,513.229980,3950900
2015-01-30,519.000000,543.099976,518.179993,537.549988,537.549988,6055400
2015-02-02,534.320007,536.500000,521.719971,532.200012,532.200012,3768900
2015-02-03,529.940002,537.450012,526.809998,533.299988,533.299988,2330200
2015-02-04,533.140015,536.750000,525.030029,526.099976,526.099976,1694800
2015-02-05,527.929993,530.690002,525.640015,529.830017,529.830017,1658800
2015-02-06,531.010010,540.219971,528.650024,533.880005,533.880005,2134400
2015-02-09,531.059998,533.880005,527.549988,529.280029,529.280029,1515700
2015-02-10,532.150024,541.000000,529.169983,540.159973,540.159973,2371500
2015-02-11,539.729980,541.950012,536.000000,538.000000,538.000000,1915300
2015-02-12,539.659973,548.340027,537.000000,546.010010,546.010010,2429500
2015-02-13,547.510010,552.539978,546.599976,551.159973,551.159973,2369100
2015-02-17,551.159973,553.000000,543.260010,545.010010,545.010010,1958700
2015-02-18,543.820007,547.549988,539.549988,542.650024,542.650024,1453300
2015-02-19,542.469971,546.859985,540.750000,546.450012,546.450012,1541700
2015-02-20,547.580017,547.580017,538.099976,541.799988,541.799988,1911700
2015-02-23,539.000000,539.299988,532.000000,535.000000,535.000000,1645300
2015-02-24,531.549988,539.400024,531.000000,538.650024,538.650024,1420300
2015-02-25,538.440002,549.570007,538.010010,547.330017,547.330017,2041800
2015-02-26,545.739990,560.130005,545.090027,559.289978,559.289978,2701600
2015-02-27,558.150024,569.419983,557.030029,562.630005,562.630005,3416400
2015-03-02,567.000000,575.989990,563.150024,575.020020,575.020020,2520300
2015-03-03,576.349976,580.849976,570.500000,578.789978,578.789978,2526300
2015-03-04,576.969971,581.630005,572.520020,578.330017,578.330017,1850500
2015-03-05,579.619995,583.200012,578.229980,581.429993,581.429993,1795900
2015-03-06,582.000000,582.780029,572.059998,572.900024,572.900024,1879600
2015-03-09,570.919983,575.450012,569.049988,574.099976,574.099976,1173900
2015-03-10,568.479980,569.760010,559.820007,559.849976,559.849976,1979300
2015-03-11,559.799988,564.179993,555.409973,555.690002,555.690002,2026200
2015-03-12,558.479980,561.840027,555.530029,561.169983,561.169983,1780100
2015-03-13,559.229980,564.359985,550.330017,553.000000,553.000000,1771400
2015-03-16,556.929993,563.750000,551.320007,561.640015,561.640015,1842800
2015-03-17,558.289978,560.640015,554.409973,557.609985,557.609985,1441900
2015-03-18,557.729980,566.510010,553.500000,566.159973,566.159973,1759700
2015-03-19,564.520020,566.960022,562.119995,563.669983,563.669983,1233000
2015-03-20,566.710022,567.099976,564.479980,564.950012,564.950012,2216000
2015-03-23,566.000000,569.640015,563.059998,565.369995,565.369995,1501200
2015-03-24,568.539978,581.880005,568.090027,577.539978,577.539978,3957800
2015-03-25,577.570007,580.070007,567.000000,567.000000,567.000000,2653500
2015-03-26,564.650024,567.190002,558.309998,563.640015,563.640015,2492100
2015-03-27,561.830017,564.070007,556.929993,557.549988,557.549988,1723500
2015-03-30,560.250000,562.159973,556.789978,561.140015,561.140015,1239400
2015-03-31,557.940002,562.450012,554.669983,554.700012,554.700012,1746600
2015-04-01,554.830017,558.500000,546.030029,549.489990,549.489990,1932300
2015-04-02,547.409973,548.000000,540.440002,541.309998,541.309998,2388000
2015-04-06,538.840027,545.539978,535.700012,543.950012,543.950012,1685900
2015-04-07,544.989990,550.159973,543.590027,544.859985,544.859985,1365900
2015-04-08,546.000000,551.500000,546.000000,548.840027,548.840027,1419300
